risk_band,feature,shap_value
Low Risk,AMT_ANNUITY,-0.002417490735552815
Low Risk,AMT_GOODS_PRICE,-0.005445127627004618
Low Risk,CODE_GENDER_M,-0.007248890069017461
Low Risk,DAYS_BIRTH,0.003282878808430788
Low Risk,DAYS_EMPLOYED,-0.013974044507285415
Low Risk,DAYS_ID_PUBLISH,-0.00473387315028426
Low Risk,DAYS_LAST_PHONE_CHANGE,-0.0034574169654956605
Low Risk,EXT_SOURCE_1,-0.024533280273669987
Low Risk,EXT_SOURCE_2,-0.03647004312383246
Low Risk,EXT_SOURCE_3,-0.047216161076956
Low Risk,FLAG_OWN_CAR_Y,-0.001486819164281892
Low Risk,ORGANIZATION_TYPE_TE,-0.010147547699726304
Low Risk,credit_annuity_ratio,-0.02766273754252397
Low Risk,credit_goods_ratio,-0.00839868967438607
Low Risk,employment_age_ratio,0.015887427065738025
Medium Risk,AMT_ANNUITY,0.04096161802099855
Medium Risk,AMT_GOODS_PRICE,0.0671239665747466
Medium Risk,CODE_GENDER_M,0.04255418430242525
Medium Risk,DAYS_BIRTH,0.03720389586599602
Medium Risk,DAYS_EMPLOYED,0.029613092479320677
Medium Risk,DAYS_ID_PUBLISH,0.05107981755691387
Medium Risk,DAYS_LAST_PHONE_CHANGE,0.036030077179824455
Medium Risk,EXT_SOURCE_1,0.1901754683614518
Medium Risk,EXT_SOURCE_2,0.445619731082237
Medium Risk,EXT_SOURCE_3,0.5117068738641539
Medium Risk,FLAG_OWN_CAR_Y,0.02141329849814565
Medium Risk,ORGANIZATION_TYPE_TE,0.0509230562301895
Medium Risk,credit_annuity_ratio,0.26607449439469044
Medium Risk,credit_goods_ratio,0.07393209879171994
Medium Risk,employment_age_ratio,0.03689191587693547
High Risk,AMT_ANNUITY,0.05745309094872732
High Risk,AMT_GOODS_PRICE,0.10388417980147756
High Risk,CODE_GENDER_M,0.04809276326096994
High Risk,DAYS_BIRTH,0.05664036146444029
High Risk,DAYS_EMPLOYED,0.0395395169930374
High Risk,DAYS_ID_PUBLISH,0.07189660749698674
High Risk,DAYS_LAST_PHONE_CHANGE,0.05003205813503474
High Risk,EXT_SOURCE_1,0.2765755933118745
High Risk,EXT_SOURCE_2,0.7837954748738996
High Risk,EXT_SOURCE_3,0.7901602470085669
High Risk,FLAG_OWN_CAR_Y,0.04818190481920398
High Risk,ORGANIZATION_TYPE_TE,0.08345339474322166
High Risk,credit_annuity_ratio,0.39111502153172995
High Risk,credit_goods_ratio,0.15431787638823943
High Risk,employment_age_ratio,0.0452279932822646
